action	conf	current_folder	new_folder	current_filename	new_filename	rationale
move+rename	high	general-history	territorial-disputes	Unknown-Unknown-1962-Unknown.pdf	QuestionBoundariesVenezuelaBritishGuiana-Venezuela-1962-UnitedNations.pdf	Official UN document from 1962, Venezuela's request for item inclusion in General Assembly agenda regarding boundaries.
move+rename	high	general-history	territorial-disputes	Unknown-Unknown-1967-Unknown.pdf	ReportSpecialCommitteeSituationImplementationDecla-Esfandiary-1967-UnitedNations.pdf	Official UN report (1967) by Mr. Mohsen S. Esfandiary on decolonization, includes Falkland Islands.
move+rename	high	general-history	african-history	Unknown-Unknown-2024-Springer.pdf	CoupvolutionMechanismRegimeChangeSahel-Fain-2024-Springer.pdf	Academic chapter 'Coupvolution as a Mechanism of Regime Change in the Sahel' by Egor Fain et al., published by Springer, April 2024.
move+rename	high	general-history	african-history	Unknown-Unknown-2024-Unknown.pdf	AfricanDiasporaDiscourse-Unknown-2024-InstituteAfricanDiasporaStudies.pdf	Academic journal 'The African - Diaspora Discourse', published by Institute of African and Diaspora Studies, 2024.
move+rename	high	general-history	middle-east-history	UnknownTitle-McMahon-0000-Unknown.pdf	McMahonHusseinCorrespondence-McMahon-1915-Wikisource.pdf	Historical document 'McMahon–Hussein Correspondence' (1915-1916), exported from Wikisource.
move+rename	high	general-history	territorial-disputes	WesternSaharaAsASettlerColony-Unknown-2025-Unknown.pdf	WesternSaharaAsSettlerColony-Hernandez-2025-TaylorFrancisGroup.pdf	Academic article in Settler Colonial Studies (2025) by M. Padrón Hernández.
move+rename	high	general-history	african-history	WordSourDocument-Unknown-2024-Unknown.pdf	FrenchInterventionismSahelFlawedStrategy-Sour-2024-PrzegladGeopolityczny.pdf	Academic article 'French interventionism in the Sahel: a flawed strategy, imperfect geopolitics' by Lofti Sour, 2024.
move+rename	high	territorial-disputes	general-history	PartitionOfBritishIndia-Unknown-1947-TheNationalArchives.pdf	PartitionBritishIndia-Unknown-1947-TheNationalArchives.pdf	Educational resource from The National Archives, discussing the Partition of British India, mentions 1947.
noop	high	general-history	general-history	DiseaseReadBones-Ibanez-0000-Unknown.pdf	DiseaseReadBones-Ibanez-0000-Unknown.pdf	Academic title by named author.
noop	high	general-history	general-history	HistoryAndCultureOfTheAngloSaxonWorld-GRAHAMGOERING-0000-Unknown.pdf	HistoryAndCultureOfTheAngloSaxonWorld-GRAHAMGOERING-0000-Unknown.pdf	Academic title by named author.
noop	high	general-history	general-history	JournalOfLatinAmericanStudies-Unknown-0000-CambridgeUP.pdf	JournalOfLatinAmericanStudies-Unknown-0000-CambridgeUP.pdf	Academic journal from CambridgeUP.
noop	high	general-history	general-history	JournalOfMedievalStudies-Unknown-2015-Unknown.pdf	JournalOfMedievalStudies-Unknown-2015-Unknown.pdf	Academic journal.
noop	high	general-history	general-history	OrdonnanceAllemande-Unknown-1940-Unknown.pdf	OrdonnanceAllemande-Unknown-1940-Unknown.pdf	Historical primary document (German ordinance from 1940).
noop	high	general-history	general-history	RaceAmericanPoliticalScience-Blatt-0000-Unknown.pdf	RaceAmericanPoliticalScience-Blatt-0000-Unknown.pdf	Academic title by named author.
noop	high	general-history	general-history	Speech-Macron-0000-Unknown.pdf	Speech-Macron-0000-Unknown.pdf	Primary source (Macron speech).
noop	high	general-history	general-history	StatistickiGodisnjak-Unknown-1939-Unknown.pdf	StatistickiGodisnjak-Unknown-1939-Unknown.pdf	Yugoslavian government report 'Statisticki Godisnjak' listing financial data from 1939-1940.
noop	high	general-history	general-history	VikingsLagerthaRagnar-Tsoumbakos-0000-Unknown.pdf	VikingsLagerthaRagnar-Tsoumbakos-0000-Unknown.pdf	Academic topic by named author.
noop	medium	general-history	general-history	WarriorWomen-Unknown-0000-Unknown.pdf	WarriorWomen-Unknown-0000-Unknown.pdf	Academic topic, but empty file. Cannot ID further without content.
noop	medium	general-history	general-history	WarriorWomenArchaeologists-Behan-0000-Unknown.pdf	WarriorWomenArchaeologists-Behan-0000-Unknown.pdf	Book on 'Warrior Women' by Jeannine Davis-Kimball, discusses archaeological findings.
noop	high	middle-east-history	middle-east-history	CyprusOttomansKissingerChristopherHitche-History-0000-Unknown.pdf	CyprusOttomansKissingerChristopherHitche-History-0000-Unknown.pdf	Specific historical/geopolitical topic.
noop	high	middle-east-history	middle-east-history	SykesPicotAgreementFODocuments-Unknown-1916-Unknown.pdf	SykesPicotAgreementFODocuments-Unknown-1916-Unknown.pdf	Primary document (Sykes-Picot Agreement).
noop	high	territorial-disputes	territorial-disputes	Bakassi-Unknown-0000-Unknown.pdf	Bakassi-Unknown-0000-Unknown.pdf	Specific territorial dispute (Bakassi).
noop	high	territorial-disputes	territorial-disputes	LetterSapodillaCayesBelizeDispute-Unknown-1913-Unknown.pdf	LetterSapodillaCayesBelizeDispute-Unknown-1913-Unknown.pdf	Primary document on a specific territorial dispute.
rename	high	african-history	african-history	Unknown-Unknown-0000-Unknown.pdf	BulletinOfficielEtatIndependantCongo-GallicaBnF-1892-GallicaBnF.pdf	Source gallica.bnf.fr / Ministère des Affaires étrangères Bulletin officiel de l'État indépendant du Congo. 1892-01-01.
rename	medium	colonialism-slavery	colonialism-slavery	ImaginationAidedByThePainterSBrushTheSchaghen-Unknown-1626-Unknown.pdf	ImaginationAidedByThePaintersBrush-Unknown-0000-GothamCenter.pdf	From GothamCenter.org blog, but author/year not in snippet.
rename	high	colonialism-slavery	colonialism-slavery	LandPapers-Unknown-1980-Unknown.pdf	NewYorkHistoricalManuscriptsDutchLandPapers-Gehring-1980-HollandSocietyNY.pdf	Page 1 names 'Charles T. Gehring, The Holland Society of New York, Genealogical Publishing Co., Inc. 1980'
rename	medium	colonialism-slavery	colonialism-slavery	NotesManhattanPurchase-Unknown-2026-Unknown.pdf	NotesManhattanPurchase-Unknown-0000-GothamCenter.pdf	From GothamCenter.org blog, but author/year not in snippet.
rename	high	colonialism-slavery	colonialism-slavery	Treaty-Unknown-2026-Unknown.pdf	TreatyOfTordesillas-Unknown-1494-AvalonProject.pdf	Primary document: Treaty between Spain and Portugal, 1494, from Avalon Project.
rename	high	colonialism-slavery	colonialism-slavery	TreatyOfTordesillasAndTheOriginsOfSlavery-Unknown-2023-Unknown.pdf	TordesillasSlaveryAndBrazilianInequality-Laudares-2023-Unknown.pdf	Academic article, authors Laudares & Caicedo, published January 6, 2023. Explicitly states topic.
rename	medium	colonialism-slavery	colonialism-slavery	UncoveringInvisible-Unknown-2026-Unknown.pdf	UncoveringInvisibleDoctrineDiscovery-Unknown-0000-DoctrineOfDiscoveryorg.pdf	Online article from doctrineofdiscovery.org, discusses academic concepts. Author and year not specified.
rename	medium	general-history	general-history	AcademicArticle-Unknown-2011-Cambridge-University-Press.pdf	InfantAndChildBurialRitesRomanBritain-Millett-2015-CambridgeUniversityPress.pdf	Academic article in Britannia, lists year as 2015, Millett first author.
rename	high	general-history	general-history	AcademicArticle-Unknown-2017-Cambridge-University-Press.pdf	VikingWarriorWomenReassessingBirkaGrave-Price-2019-CambridgeUniversityPress.pdf	Academic article from Antiquity Publications Ltd, published by Cambridge University Press, 2019.
rename	high	general-history	general-history	AcademicArticle-Unknown-2023-Cambridge-University-Press.pdf	GeoPACHALargeScaleImagerySurveyArchaeology-Wernke-2023-CambridgeUniversityPress.pdf	Academic article in Antiquity, published by Cambridge University Press, 2023. Steven Wernke first author.
rename	high	general-history	general-history	AmericanJewishHistory-Unknown-2015-JohnsHopkinsUP.pdf	AmericanCareerProtocolsEldersOfZion-Singerman-1981-JohnsHopkinsUP.pdf	Academic article in American Jewish History (1981) from Johns Hopkins University Press.
rename	high	general-history	general-history	AncientReligionAndArchaeology-Unknown-2003-Unknown.pdf	ArchaeologyOfAncientReligionEasternWoodlands-Brown-2003-Unknown.pdf	Academic article from Researchgate, mentions 'Annual Review of Anthropology · November 2003'.
rename	medium	general-history	general-history	AnnualReportDocumentsNewYorkInstitution-Dumb-0000-Unknown.pdf	LostTerritories-Chandler-0000-Unknown.pdf	Book title 'The Lost Territories', editors David Chandler and Rita Smith Kipp mentioned.
rename	high	general-history	general-history	Article-Unknown-2013-Unknown.pdf	PhilosophyHeracletusToday-Baloyannis-2013-ResearchGate.pdf	Academic article from ResearchGate, 'Article · March 2013'.
rename	medium	general-history	general-history	BalkanStrategyOfTheEntenteAndTheCentralPowers-Unknown-1974-Unknown.pdf	BalkanStrategyEntenteCentralPowers-Holland-1974-CambridgeUniversityPress.pdf	Review of a book related to Balkan strategy, published by Cambridge University Press. Review is from 1974.
rename	medium	general-history	general-history	Calendar-Unknown-2025-Unknown.pdf	ChronographyOf354ADCalendarOfPhilocalus-Unknown-0000-Tertullianorg.pdf	Historical document 'The Chronography of 354 AD. Part 6: the calendar of Philocalus.' from Tertullian.org, year is for original.
rename	high	general-history	general-history	ChiracSSpeech-Unknown-1942-Unknown.pdf	SpeechPresidentJacquesChirac-Chirac-1995-Unknown.pdf	Speech by President Jacques Chirac on July 16, 1995, regarding Vel d’Hiv roundup.
rename	medium	general-history	general-history	ChristianHistoryReality-Unknown-2000-Unknown.pdf	TriumphalismVsRealityChristianHistory-Unknown-2000-Unknown.pdf	Essay discussing Christian history, mentions 'academic notes' and 'scholars'. Year estimated from context.
rename	medium	general-history	general-history	CodexTellerianoRemensisVol-DKM-0000-Unknown.pdf	MexicanManuscriptCodexTellerianoRemensis-Unknown-0000-Unknown.pdf	Historical manuscript 'Codex Telleriano-Remensis', translated from Russian edition dated Kyev 2011. Original year 0000.
rename	high	general-history	general-history	ContemporaryFarRightCulture-ARGENTINO-0000-Unknown.pdf	ContemporaryFarRightCulture-Argentino-0000-Unknown.pdf	Edited collection 'Contemporary Far-Right Culture' with Marc-André Argentino listed as co-editor/author.
rename	medium	general-history	general-history	Edited-Marichal-0000-Unknown.pdf	ColoursCommoditiesBirthGlobalization-Marichal-0000-Unknown.pdf	Edited book 'Colours, Commodities and the Birth of Globalization', Carlos Marichal co-editor.
rename	high	general-history	general-history	GenderRepresentationEvil-Fallwell-0000-Unknown.pdf	GenderRepresentationOfEvil-Fallwell-0000-Routledge.pdf	Edited collection 'Gender and the Representation of Evil', Lynne Fallwell co-editor, published by Routledge.
rename	high	general-history	general-history	GenomicHistoryMedievalEurope-Speidel-0000-Springer.pdf	HighResolutionGenomicHistoryMedievalEurope-Speidel-2025-Nature.pdf	Academic article in 'Nature', Vol 637, January 2025. Leo Speidel first author.
rename	medium	general-history	general-history	GorbachevEraWarsAndCrises-Unknown-1959-Unknown.pdf	GorbachevEraWarsAndCrises-Golan-0000-Unknown.pdf	Book 'Gorbachev Era Wars And Crises' by Galia Golan, discusses Soviet policies in Middle East.
rename	high	general-history	general-history	Hageprot-Unknown-2008-Harvard-University-Press.pdf	ProtocolsEldersOfZionBetweenHistoryFiction-Hagemeister-2008-NewGermanCritique.pdf	Academic article in New German Critique (2008), Michael Hagemeister author.
rename	high	general-history	general-history	HateSpeechRegulationResponses-Herz-0000-European-Court-of-Human-Rights.pdf	ContentAndContextHateSpeech-Herz-0000-CambridgeUniversityPress.pdf	Edited book 'The Content and Context of Hate Speech', Michael Herz co-editor, published by Cambridge University Press.
rename	high	general-history	general-history	HistoricalImage-Kotoulas-0000-Unknown.pdf	BattleThermopylaeHistoricalPicture-Kotoulas-0000-GeodinamicaActa.pdf	OCR: 'The historical picture of the Battle of Thermopylae: The eternal example of heroism', Iordanidou & Kotoulas
rename	high	general-history	general-history	Ijmes-Unknown-1905-CambridgeUP.pdf	ProtocolsEldersOfZionInJewishPress-Katz-2025-Brill.pdf	Academic article in IMAGES, published by Brill, discusses Protocols of the Elders of Zion. Copyright 2024, online 2025.
rename	high	general-history	general-history	InternationalPolicyStudies-Anttiroiko-0000-Unknown.pdf	ParadoxesIdentityPoliticsGenderMainstreaming-Anttiroiko-2019-KoreanAssociationOfPolicyStudies.pdf	Academic article in International Journal of Policy Studies (2019) by Ari-Veikko Anttiroiko.
rename	high	general-history	general-history	JODEFDocument-Unknown-1941-Unknown.pdf	LoiStatutDesJuifs-Unknown-1941-JournalOfficielEtatFrancais.pdf	Official government document 'Loi du 2 juin 1941 remplaçant la loi du 3 octobre 1940 portant statut des juifs'.
rename	high	general-history	general-history	JORFDocument-Unknown-1940-Unknown.pdf	JournalOfficielRepubliqueFrancaise-Unknown-1940-JournalOfficielRepubliqueFrancaise.pdf	Official government document 'Journal Officiel de la République Française', August 1940.
rename	high	general-history	general-history	KMBTC364Document-Unknown-2013-Unknown.pdf	WalkingNordicPerformingSpacePlaceIdentity-sterlund-Ptzsch-2013-ResearchGate.pdf	Academic article 'Walking nordic: Performing space, place and identity' from ResearchGate (2013).
rename	high	general-history	general-history	LRWilliams-Hudson-0000-Unknown.pdf	AnimatingChristineDePizan-Williams-0000-LINGUAROMANA.pdf	Academic article 'Animating Christine de Pizan' by Shelley Williams in LINGUA ROMANA.
rename	high	general-history	general-history	LawStatusJewsEnglishTranslation-Unknown-1940-Unknown.pdf	LawOfOctober31940ConcerningStatusOfJews-Unknown-1940-JournalOfficielRepubliqueFrancaise.pdf	Translation of official French law 'Loi du 3 octobre 1940 portant statut des Juifs'.
rename	high	general-history	general-history	LoiPortantStatutDesJuifs-Unknown-1940-Unknown.pdf	LoiPortantStatutDesJuifs-Unknown-1940-ImprimerieJournauxOfficiels.pdf	Official French law 'Loi du 3 octobre 1940 portant statut des Juifs'.
rename	high	general-history	general-history	LoiStatutJuifsDraft-Unknown-1940-Legifrance.pdf	LoiPortantStatutDesJuifsDraft-Unknown-1940-Legifrance.pdf	Draft of official French law 'Loi du 3 octobre 1940 portant statut des Juifs'.
rename	high	general-history	general-history	MenWomenAndPower-Unknown-2015-Unknown.pdf	MenWomenAndPowerSpeculum-Unknown-1993-Speculum-MedAcadAmerica.pdf	OCR: SPECULUM Journal of Medieval Studies Vol 68 April 1993 No 2 OFFPRINT, Medieval Academy of America
rename	high	general-history	general-history	MexicanManuscript-Festivals-0000-Unknown.pdf	MexicanManuscriptCodexTellerianoRemensis-Skromnitsky-2011-BlokNOT.pdf	Edited historical manuscript 'Codex Telleriano-Remensis', translated and published in 2011.
rename	medium	general-history	general-history	NationalHistoryNewNationalism-May-0000-Unknown.pdf	NationalHistoryNewNationalismTwentyFirstCentury-May-0000-Unknown.pdf	Book 'National History and New Nationalism in the Twenty-First Century', Niels F. May is Research Coordinator.
rename	high	general-history	general-history	Nwig-Unknown-2025-Brill.pdf	GoverningMayaCommunitiesAndLandsInBelize-Medina-2025-Brill.pdf	Book review from New West Indian Guide (2025) of Laurie Kroshus Medina's work, published by Brill.
rename	high	general-history	general-history	OXMOFinal-UnicafPC-0000-Unknown.pdf	WhatWeKnewWasLostOralHistoryGreekCypriot-Peristianis-2019-ResearchGate.pdf	Academic article 'What we Knew was Lost' from ResearchGate, author Christakis Peristianis, August 2019.
rename	high	general-history	general-history	OxfordMedievalTexts-Danorum-0000-Oxford-University-Press.pdf	SaxoGrammaticusGestaDanorum-Saxo-0000-OxfordUniversityPress.pdf	Book 'Saxo Grammaticus Gesta Danorum' published by Oxford University Press, author is Saxo.
rename	high	general-history	general-history	PalaeogeographicalReconstruction-Unknown-2014-Unknown.pdf	PalaeogeographicalReconstructionThermopylae-Kraft-2018-GeodinamicaActa.pdf	OCR: 'Palaeogeographical reconstruction of the battle terrain in Ancient Thermopylae, Greece' Kraft, Rapp, Gifford, Rapp-Papathanassopoulou
rename	high	general-history	general-history	ProtocolsOfTheLearnedEldersOfZion-Unknown-1903-Unknown.pdf	ProtocolsOfTheLearnedEldersOfZion-Hagemeister-1903-NewGermanCritique.pdf	Academic article in New German Critique discusses 'Protocols of the Elders of Zion', referencing 1903 edition.
rename	high	general-history	general-history	ReportOfTheSuperintendentOfPublicInstruction-Unknown-2025-Brill.pdf	GoverningMayaCommunitiesAndLandsInBelize-Medina-2025-Brill.pdf	Book review from New West Indian Guide (2025) of Laurie Kroshus Medina's work, published by Brill.
rename	high	general-history	general-history	Scandinavism-Cultural-0000-Unknown.pdf	CopenhagenQuestionTracingIntellectualRoots-Gerven-2018-ResearchGate.pdf	Academic chapter 'The Copenhagen Question of 1800. Tracing the Intellectual Roots of Cultural Scandinavism' from ResearchGate, Tim van Gerven author. Jan 2018.
rename	high	general-history	general-history	SocietyEncouragementContemporary-Art-0000-Unknown.pdf	ContemporaryFarRightCulture-Argentino-0000-Unknown.pdf	Edited collection 'Contemporary Far-Right Culture' with Marc-André Argentino listed as co-editor/author.
rename	high	general-history	general-history	TeotihuacanAndTenochtitlan-Unknown-2019-Unknown.pdf	TeotihuacanAndTenochtitlan-Lujan-2019-AncientCulturesInstitute.pdf	Academic article in The PARI Journal (2019) by López Luján.
rename	high	general-history	general-history	TruthProtocols-Graves-0000-Unknown.pdf	TruthAboutProtocols-Graves-1921-TheTimes.pdf	Newspaper article 'The Truth About Protocols' from The Times (1921), by Philip Graves.
rename	high	general-history	general-history	UnidentifiableDocument-Unknown-0000-Unknown.pdf	HebrewBibleCriticalCompanion-Barton-0000-Princeton.pdf	OCR: 'The Hebrew Bible: A Critical Companion' edited by John Barton, Princeton UP.
rename	high	general-history	general-history	Unknown-Unknown-1933-brill.pdf	BelievingInnerTruthProtocolsNaziPropaganda-Bytwerk-2015-HolocaustGenocideStudies.pdf	Academic article in Holocaust and Genocide Studies (2015) by Randall L. Bytwerk.
rename	high	general-history	general-history	Unknown-Unknown-1940-Unknown.pdf	AnnotatedDraftLawOctober31940-Unknown-1940-MemorialDeLaShoah.pdf	Annotated draft of the French 'Law of October 3, 1940' concerning Jews, from Mémorial de la Shoah.
rename	high	general-history	general-history	Unknown-Unknown-1965-Unknown.pdf	PasteOverIllustrationsDuranCodexMadrid-Robertson-1965-TulaneUniversity.pdf	Academic article 'Paste-Over Illustrations in the Duran Codex of Madrid' by Donald Robertson (1965).
rename	high	general-history	general-history	Unknown-Unknown-2013-Routledge.pdf	InfanticideAndSacrificesArchaicBabies-Claassen-2013-TaylorFrancisGroup.pdf	Academic article in World Archaeology (2013) by Cheryl Claassen, published by Taylor & Francis Group.
rename	high	general-history	general-history	Unknown-Unknown-2013-Unknown.pdf	CartographicAnxietyMappingBodyPoliticIndia-Krishna-1994-SagePublications.pdf	Academic article in Alternatives: Global, Local, Political (1994) by Sankaran Krishna, published by Sage Publications.
rename	high	general-history	general-history	Unknown-Unknown-2022-Unknown.pdf	EinsatzgruppenOperationalSitRepUSSR17-ChiefSDBerlin-1941-RSHA-Primary.pdf	OCR: 'Operational Situation Report USSR No. 17, The Chief of the Security Police and the SD Berlin, July 7, 1941' — Einsatzgruppen primary document.
rename	high	general-history	general-history	Unknown-Unknown-2025-Unknown.pdf	HonourRhetoricSlaveryHerodotus-Cairns-2025-EdinburghUniversityPress.pdf	Book chapter 'Honour and the Rhetoric of Slavery in Herodotus' by Douglas Cairns, published by Edinburgh University Press (2025).
rename	high	general-history	general-history	UnknownDocument-Unknown-2004-Oxford-University-Press.pdf	NewHistoryWesternPhilosophyAncientPhilosophy-Kenny-2004-OxfordUniversityPress.pdf	Book 'A NEW HISTORY OF WESTERN PHILOSOPHY volume 1 Ancient Philosophy' by Anthony Kenny, published by Oxford University Press, 2004.
rename	high	general-history	general-history	UnknownDocument-Unknown-2007-Oxford.pdf	MedievalPhilosophyNewHistoryWesternPhilosophyVol2-Kenny-2007-OUP.pdf	OCR: 'Medieval Philosophy: A New History of Western Philosophy, Volume 2' by Anthony Kenny, OUP.
rename	high	general-history	general-history	UnreadableDocument-Unknown-2014-Unknown.pdf	AnalectaArchaeologicaRessoviensiaVol6FuneraryArch-Unknown-2011-UniRzeszow.pdf	OCR: 'Analecta Archaeologica Ressoviensia, Volume 6 — Funerary Archaeology', Rzeszow 2011, University of Rzeszow.
rename	high	general-history	general-history	UntitledDocument-Unknown-2014-Unknown.pdf	ReligionNordicCountriesPrivatePublic-Bckstrm-2014-TaylorFrancisGroup.pdf	Academic article in Journal of Contemporary Religion (2014) by Anders Bäckström, published by Taylor & Francis Group.
rename	high	general-history	general-history	VLInternationalConference-FCSH-0000-Unknown.pdf	EverydayLifeMedievalUrbanEurope-Unknown-0000-FCSH.pdf	Call for papers for 'VI International Conference of the Middle Ages' on 'Everyday Life in Medieval Urban Europe'.
rename	high	general-history	general-history	VojnuciDefter-Unknown-1455-Unknown.pdf	VojnuciDefter1455SancaksKrusevacVucitrnPrizren-Katic-0000-InstituteHistoryBelgrade.pdf	Historical document 'Vojnuci Defter' from 1455, edited by Tatjana Katić, published by Institute of History Belgrade. Year is for original.
rename	high	general-history	general-history	VojnuciDefter1455-Unknown-2020-Unknown.pdf	VojnuciDefter1455-Katic-2020-InstituteHistoryBelgrade.pdf	Edited historical document 'Vojnuci Defter' from 1455, edited by Tatjana Katić, published by Institute of History Belgrade in 2020.
rename	high	general-history	general-history	WhatWeKnewAndWhatWeLost-Unknown-2019-Unknown.pdf	WhatWeKnewWasLostOralHistoryGreekCypriot-Peristianis-2019-ResearchGate.pdf	Academic article 'What we Knew was Lost' from ResearchGate, author Christakis Peristianis, August 2019.
rename	high	general-history	general-history	WorldHistory-Unknown-2010-Unknown.pdf	EnergyInWorldHistory-Smil-1994-Westview.pdf	OCR: 'Energy in World History' by Vaclav Smil, University of Manitoba, Westview/Perseus Books Group, 1994.
