You will receive a numbered list of academic books with KNOWN author, year, and title slug. Your job: identify the PUBLISHER using your training knowledge.

OUTPUT FORMAT: JSON array, NO markdown fences, JSON only.
[{"i":N,"p":"PublisherAbbrev"}]

PUBLISHER ABBREVIATIONS (use these — match closest):
CambridgeUP, OxfordUP, YaleUP, PrincetonUP, ColumbiaUP, IndianaUP, EdinburghUP, NYUPress, UCPress (= UC Press), UCLAUP, UNCPress, JohnsHopkinsUP, HooverPress, PlutoPress, Routledge, Palgrave, PalgraveMacmillan, Bloomsbury, ITauris (= I.B.Tauris), HurstCo (= Hurst), ZedBooks, VersoBooks, BasicBooks, RandomHouse, Penguin, Brill, Springer, DaCapo, FreePress, Granta, WeidenfeldNicolson, CornellUP, StanfordUP, HarvardUP, LiverpoolUP, MacmillanUK, NortonCo, ChicagoUP, MITPress, WileyBlackwell, SAGEPub, TaylorFrancis, Greenwood, Lexington, Brookings, RFFPress, AsiaSocietyPress, CUNYPress, OneWorldPubs, NewPress, ZED, OUPIndia

If you don't know with reasonable confidence, output "Unknown".

ENTRIES (i. title | author | year):
40. ReligiousPluralismIslamicLaw | Emon | 2012
41. 1491 | Mann | 2013
42. 1776 | McCullough | 2005
43. ActivitiesEuropeanUnionSmallMedium | DG | 2005
44. AgainstOdds | Ndlovu | 2013
45. AhnenerbeSS | Kater | 2009
46. AhnenerbeSSKulturpolitikDrittenReiches | Kater | 1935
47. AmericanDialogue | Ellis | 2018
48. AmericanHolocaust | Stannard | 1992
49. AmericanScripture | Maier | 2012
50. AmericanScriptureDeclarationIndependence | Maier | 1997
51. AnalysisBaiahAlMawt | Hassan | 2022
52. AncientHistoryEducation | HolmesHenderson | 2025
53. AndeanWorlds | Andrien | 2001
54. AndeanWorldsIndigenousHistory | Andrien | 1825
55. AnnaeherungenHelmutHeissenbuettel | Lehmann | 2005
56. AnoJanMar | Dispute | 2024
57. AntigüedadesArteTradicionSantiago | Dobal | 1977
58. ArchaeologyNativeNorthAmerica | Snow | 2015
59. ArmiesHeaven | Rubenstein | 2011
60. AwakeningAshes | Daut | 2026
61. AzerbaijaniTurks | Altstadt | 2013
62. AztecsSpanishRule | Gibson | 1964
63. BalfourDeclaration | Schneer | 2010
64. Balkans | Glenny | 2012
65. BestAmericanEssays | Tolentino | 2025
66. BlackSun | Goodrick-Clarke | 2001
67. BornDie | Cook | 1998
68. ByzantiumIslamicConquests | Kaegi | 1995
69. Cambodge | Edwards | 2007
70. CambodgeCultivationNation | Edwards | 1945
71. CebriRevista | Bethell | 2024
72. ChapterApril | Fain | 2024
73. ChapterJanuary | Arnold | 1996
74. ChicazaChickasaw | Ethridge | 2010
75. ChildrenAshElm | Price | 2020
76. ChosenFew | Botticini | 2014
77. ChroniclePeru | León | 1964
78. CodexTellerianoRemensis | Keber | 1995
79. ColdWarMiddleEast | Ashton | 2007
80. ConciseHistoryArmenianPeople | Bournoutian | 2002
81. ConfederateNeoConfederateReader | Loewen | 2010
82. ConflictSoutheastAsia | Gordon | 1932
83. ConfrontingYugoslavControversies | Ingrao | 2013
84. ConfrontingYugoslavControversiesScholars | Emmert | 2009
85. CoupCIAIranianRelations | Abrahamian | 2013
86. CousinsWars | Phillips | 1999
87. CulturalTheory | Smith | 2011
88. DealingSecurityCrisisBurkinaFaso | Engels | 2021
89. DebunkingHandbook | Lewandowsky | 2011
90. DenialViolence | Gocek | 2014
91. DenyingHolocaust | Lipstadt | 2012
92. DestructionEuropeanJews | Hilberg | 1967
93. DestructionEuropeanJews | Hilberg | 2003
94. DialogueMachiavelliMontesquieu | Joly | 2002
95. DiggingHitler | Barrowclough | 2016
96. Disinformation | Pacepa | 2013
97. EarlyCulturesNorth | Fox | 1950
98. EarlyCulturesNorthwestEurope | Fox | 1950
99. EarlyIslamicConquests | Donner | 2014
100. EconomicHistoryLatinAmerica | BulmerThomas | 2003
101. EconomicOrganizationInkaState | Murra | 1979
102. EconomicOrganizationInkaState | Murra | 1980
103. EmpiresWordLanguageHistory | Ostler | 2006
104. EndgameWesternSahara | Shelley | 2008
105. Español | Baroja | 1979
106. EuropeanJewryMercantilism | Israel | 1989
107. EveryoneNeedsKnowIslam | Esposito | 2011
108. ExploringAmericanHistoryManual | Schwartz | 1984
109. Factfulness | Rosling | 2018
110. FallNaturalMan | Pagden | 1986
111. FatefulTriangle | Chomsky | 1999
112. FemaleVikingWarriorConfirmed | HedenstiernaJonson | 2017
113. FirstNewChronicleGood | Ayala | 2021
114. ForestPolicy | Maaren | 1986
115. FoundingFathersReligionAmerica | Lambert | 2010
116. FranceDarkYears | Jackson | 1940
117. FrederickCooper | Cooper | 1973
118. GatesEurope | Plokhy | 2017
119. GatesEuropeHistoryUkraine | Plokhy | 2015
120. GenealogicalFictions | Martínez | 2008
121. GenocidioSelknam | Pantoja | 2019
122. GeorgeStrachanMearns | McInally | 2020
123. GestaDanorumHistoryDanes | Grammaticus | 2015
124. GlobalPracticeWorldHistory | Manning | 2009
125. GodIsOurHelp | Raybon | 2024
126. GreatDivergence | Pomeranz | 2021
127. GrecoPersianWars | Green | 2010
128. GuamanPoma | Adorno | 2010
129. Guardians | Pedersen | 2015
130. GunsGermsSteel | Diamond | 1999
131. GunsGermsSteelHumanSocieties | Diamond | 2017
132. HammerWitches | Mackay | 2009
133. Hassmann | Arnold | 1995
134. HaubenBook | Hauben | 1977
135. Herodotus | Hau | 2016
136. HimmlerScholarsHolocaust | Pringle | 2006
137. HistoriaEconómicaAméricaLatina | BulmerThomas | 1998
138. HistoricalDictionaryWesternSahara | Pazzanita | 1994
139. HistoryCambodia | Chandler | 1992
140. HistoryHumanRights | Ishay | 2008
141. HistoryWesternSociety | McKay | 2014
142. Holocaust | Longerich | 2010
143. HostageHistory | Hitchens | 1997
144. HottonMarcheEnFamenneNassogne | Territoire | 2006
145. HowHumansEvolved | BOYD | 2014
146. HumanPast | Scarre | 2024
147. HumanRightsUsesHistory | Moyn | 2014
148. IdeologicalOriginsAmericanRevolution | Bailyn | 1973
149. IfriFrenchPolicyAfrica | Antil | 2024
150. ImaginedCommunities | Anderson | 1991
151. ImpunityHumanRightsDemocracyChileArgenti | Wright | 1990
152. IncaGarcilasoComentarios | Vega | 1964
153. Incas | D'Altroy | 2014
154. IncasBuiltHeartland | Covey | 2025
155. IndexBritishTreaties | Parry | 1968
156. IndiansFAQ | Treuer | 2012
157. IndigeneidadesContemporáneas | Cadena | 2010
158. InhumanBondage | Davis | 2006
159. InstituteMineralTitleExamination | Examination | 1982
160. IntegratedApproachNuclearArchaeology | Göttsche | 2019
161. InterviewHistory | Fallaci | 1976
162. InterviewHistory | Fallaci | 1976
163. IntoDarkness | Price | 2011
164. IranianConstitutionalRevolution | Afary | 1911
165. IronWall | Shlaim | 2015
166. JewsMedievalWesternChristendom | Chazan | 2006
167. KishinevPogromHistory | Zipperstein | 2018
168. Kosovo | Malcolm | 2002
169. KosovoShortHistory | Malcolm | 1998
170. LACES | Wade | 2016
171. LeilaKhaled | Irving | 2012
172. LiesAcrossAmerica | Loewen | 2010
173. LiesMyTeacherToldMe | Loewen | 2007
174. LiesMyTeacherToldMe | Loewen | 2008
175. LieWouldnTDie | BenItto | 2005
176. LineSand | Barr | 2013
177. MasculinityIdentityPowerPolitics | Stewart | 2020
178. MasterPlan | Pringle | 2006
179. MexicanCuisineUltimateBook | DeAngeli | 2023
180. MicrosoftOfficeCompanionBook | Milliken | 2025
181. MinersRedMountainPotosi | Bakewell | 1984
182. MintoPyramidPrincipleLogic | Minto | 2010
183. MiQueridoBrontosaurus | Switek | 2014
184. MissionCivilize | Conklin | 1997
185. MoscowMiddleEast | Golan | 1992
186. MultiethnicLiterature | Totten | 2023
187. MythAmericanReligiousFreedom | Sehat | 2011
188. MythLostCauseCivilWarHistory | Gallagher | 2000
189. MythLostCauseCivilWarHistory | Nolan | 2010
190. MythNations | Geary | 2003
191. NationalsozialistischeVernichtungslager | Rückerl | 1977
192. NationsNationalism | Hobsbawm | 1992
193. NativeNations | DuVal | 2024
194. NeoNaziTerrorismFascism | Sunshine | 2024
195. NewInternationalBusinessEnglish | Jones | 2000
196. NotOneInch | Sarotte | 2021
197. NotOneInchAmericaRussia | Sarotte | 2021
198. NuevaCronicaBuenGobierno | Poma | 1615
199. NuevaCronicaBuenGobierno | Salinas | 1615
200. NumeneraPlayersGuide | Cook | 2018
201. OccultRootsNazism | Goodrick-Clarke | 1993
202. OperationReinhardDeathCamps | Arad | 2018
203. OrganicFertilizersEnvironment | Ozturk | 2022
204. OriginsFinalSolution | Browning | 2007
205. PalestinianRefugeeProblem | Morris | 2004
206. Palestinians | Curtis | 1975
207. PalestiniansPeasantsRevolutionaries | Sayigh | 2008
208. ParanoidApocalypse | Katz | 2011
209. PeopleEarth | Fagan | 2023
210. PersianRevolution | Browne | 1905
211. PersianRevolution | Browne | 2018
212. PeruIndianSpanishConquest | Stern | 1993
213. Petracos | DeMiguel | 2020
214. PhilosophyShortIntroduction | Craig | 2002
215. PinochetChileLondon | Stern | 1998
216. PinochetFileDossier | Kornbluh | 2013
217. PiratesBarbary | Tinniswood | 2010
218. PlayersHandbook | Carter | 2024
219. PlayRealityVideogames | Snyder | 2012
220. Plot | Eisner | 2006
221. Politicide | Kimmerling | 2003
222. PortugueseSeaborneEmpire | Boxer | 1904
223. Potosi | Lane | 2018
224. PotosíMita | Cole | 1985
225. PowerImpactInvesting | Rodin | 2014
226. PreahVihear | Kasetsiri | 2013
227. ProtocolliDeiSaviDiSion | Michelis | 2004
228. RaceMakingAmericanPolitical | Blatt | 2021
229. RaceReunion | Blight | 2002
230. RaceSexLatinAmerica | Wade | 2009
231. RationalRadicalismTheory | Thompson | 2011
232. ReadingOldTestament | Barton | 1996
233. RealValkyrie | Brown | 2025
234. RealValkyrieVikingWarrior | Brown | 2021
235. RedGold | Hemming | 1978
236. RediscoveryAmerica | Blackhawk | 2023
237. RedStarRogue | Sewell | 2006
238. RedStarRogueSubmarine | Sewell | 2005
239. ReportPresidentU.S.Chairman | Committee | 1960
240. RepublicSpin | Greenberg | 2016
241. RepublicSpinInsideHistoryAmericanPreside | Greenberg | 2017
242. ReturnGreatPowerRivalry | Kroening | 2020
243. SalisburyPortraitSalesman | Kennedy | 1903
244. ScientificStyleFormat | Committee | 1994
245. SearchColdWarLegitimacy | Niebuhr | 2018
246. SelectBibliographyGuideStudents | Brittain | 1986
247. SevenElementsChangedWorld | Browne | 2013
248. SevenMythsSpanishConquest | Restall | 2021
249. SeventeenSeventySix | McCullough | 2005
250. ShortAccountDestructionIndies | Casas | 2019
251. SiamMappedHistoryNation | Winichakul | 1997
252. SkullWars | Thomas | 2001
253. SmartBrevityPowerSaying | VandeHei | 2022
254. SovietUnion | Bureau | 1929
255. SpainAmerica | Gibson | 1966
256. SpeakingAncestors | Smith | 2009
257. StateUncivilSocietyThailandPreahVihear | Pawakapan | 2013
258. SunRomanArtReligion | Hijmans | 2024
259. SwordShield | Andrew | 2000
260. TechnicalManual | Army | 1970
261. ThermopylaeArtemisium | Prentice | 1920
262. ThermopylaeBattleWest | Bradford | 2014
263. ThoughtsReliabilityClassical | Scott | 1915
264. TravelsPedroCiezaDeLeon | DeLeon | 1901
265. Troy | Fry | 2020
266. UnderCrescentCross | Cohen | 2021
267. UnderstandingEarthDeepPast | Council | 2011
268. UnknownTitle | Keen | 1969
269. VeilMaleEliteFeminism | Mernissi | 1991
270. VerbijsteringVeelheidVerschil | Vandenabeele | 2017
271. VichySyndromeFrance | Rousso | 1944
272. Vikings | Tsoumbakos | 2017
273. VindicatingFounders | West | 2000
274. VolosGuideMonsters | Carter | 2022
275. WaitButWhy | Urban | 2015
276. WannseeConferenceFinalSolution | Roseman | 2002
277. WarrantGenocideMythJewish | Cohn | 1967
278. WarriorWomen | Davis-Kimball | 2002
279. WarriorWomenViking | Gardela | 2013
280. WesternEuropeanUnion | Union | 1997
281. WesternSahara | Jensen | 2005
282. WesternSahara | Zunes | 2010
283. WitchHuntEarlyModernEurope | Levack | 2006
284. WomenCrucibleConquest | Powers | 2005
285. WomenOldNorseLiterature | Friðriksdóttir | 2013
286. WomenVikingAge | Jesch | 1991
287. WorldbuildingGameDesigners | Dee | 2025
288. WorldWasGoingOurWay | Andrew | 2006
289. WretchedEarth | Fanon | 2004
290. YoungTurksCrimeHumanity | Akçam | 2012
291. Yugoslavia | Silber | 1997
292. 15501750JonathanIrvineIsraelOxfordNewYor | mercantilism | 1550
293. ArmedStruggleSearchStatePalestinianMovem | Sayigh | 1997
294. BalfourDeclaration | Schneer | 2010
295. BirthPalestinianRefugeeProblem | Morris | 2004
296. CaseIsrael | Dershowitz | 2011
297. ColdWarMiddleEast | Shlaim | 1997
298. DenialViolenceArmenianGenocide | Goçek | 2014
299. EthnicCleansingPalestine | Pappe | 2006
300. EthnicCleansingPalestine | Pappé | 2011
301. FatefulTriangleIsraelPalestine | Chomsky | 1999
302. FatefulTriangleIsraelPalestinians | Chomsky | 1983
303. HistoryAnitaShapiraAnthonyBerrisWNPaperb | Israel | 2015
304. ImageRealityIsraelPalestineConflict | Finkelstein | 2003
305. ImageRealityIsraelPalestineConflict | Finkelstein | 2016
306. IranContraReagansScandalUncheckedAbusePr | Byrne | 2014
307. JewsArabLands | Stillman | 1979
308. LandQuestionPalestine19171939 | Stein | 1917
309. LandQuestionPalestine19171939 | Stein | 1987
310. LineSand | Barr | 2011
311. PalestineArabIsraeliConflict | Smith | 2016
312. PalestineArabIsraeliConflict | Smith | 2020
313. QuestionPalestine | Said | 2015
314. RediscoveringPalestine | Doumani | 1995
315. SovietPoliciesMiddleEast | Golan | 1990
316. SovietUnionPlo | Golan | 1980
317. TreatiesOtherInternationalAgreementsUnit | UnitedStates | 1776
318. WarrantGenocideProtocolsElders | Cohn | 2005
319. LieWouldntDieProtocolsElders | Ben-Itto | 2005
320. AngloGermanAgreement | AngloGerman | 1913
321. BakassiPoliticsExclusionOccupation | Kinni | 2013
322. BeyondLinesAutobiography | Nayar | 2012
323. CameroonNigeriaBorderDisputeManagementResolut | Lukong | 2011
324. ConciseHistoryArmenianPeople | Bournoutian | 2006
325. CyprusConflicts | Doudaki | 2017
326. DimensionsConflictSoutheastAsia | Gordon | 1966
327. GrantBySultanOfSuluOfTerritoriesAndLandsOnThe | SULU | 1878
328. GuatemalasClaimBelize | Chrimes | 2019
329. HistoryModernSabahNorthBorneo | Tregonning | 1965
330. HistoryNewNetherlandNewYorkUnderDutch | OCallaghan | 1846
331. InSearchMayaSeaTraders | McKillop | 2005
332. InternationalBoundariesNigeriaFrameworkEmerge | Anene | 1970
333. LibertyDeathIndiasJourneyIndependenceDivision | French | 1997
334. LostTerritoriesThailandsHistory | Strate | 2015
335. ManilaAccord | Manila | 1963
336. MemoirsLordIsmay | Ismay | 1960
337. MuslimsPhilippines | Majul | 1973
338. NigeriaCameroonBakassiDispute | Ezeilo | 2010
339. PowerfulPersuasionsLanguagePropertyPoliticsSa | Doolittle | 2005
340. PreahVihearThaiCambodianConflict | Kasetsiri | 2013
341. SabahQuestionInternationalLaw | Lobrigo | 2022
342. SelectDocumentsPartitionPunjabIndiaPakistan | Siṅgha | 1947
343. ThailandTemplePreahVihear | Pawakapan | 2013
344. TreatyPereyaslav | Pereyaslav | 1654
345. UnderCharteredCompanyRule | Tregonning | 1958
346. VenezuelaGuyanaBorderDispute | Braveboy-Wagner | 1984
347. WhoOwnsBakassiCritiqueAngloGermanTreaties | Akak | 1999
348. WhoOwnsBakassiCritiqueAngloGermanTreaties | Akak | 1999
