action	folder	filename	new_folder	new_filename	reason
rename-pub	colonialism-slavery	AfterAbolitionBritainSlaveTrade-Sherwood-2007-Liverpool-UP.pdf	colonialism-slavery	AfterAbolitionBritainSlaveTrade-Sherwood-2007-LiverpoolUP.pdf	publisher slug Liverpool-UP -> LiverpoolUP
stash-dupe	colonialism-slavery	AfterAbolitionBritainSlaveTrade-Sherwood-2007-OxfordUP.pdf	_stash-duplicates	AfterAbolitionBritainSlaveTrade-Sherwood-2007-OxfordUP.pdf	duplicate of colonialism-slavery/AfterAbolitionBritainSlaveTrade-Sherwood-2007-Liverpool-UP.pdf (tied; lower score)
rename-pub	colonialism-slavery	BelizeIndependenceDecolonizationLatinAme-Shoman-1990-Palgrave-Macmillan.pdf	colonialism-slavery	BelizeIndependenceDecolonizationLatinAme-Shoman-1990-Palgrave.pdf	publisher slug Palgrave-Macmillan -> Palgrave
rename-pub	colonialism-slavery	BodyConquistadorColonialExperience-Earle-2012-Cambridge.pdf	colonialism-slavery	BodyConquistadorColonialExperience-Earle-2012-CambridgeUP.pdf	publisher slug Cambridge -> CambridgeUP
rename-pub	colonialism-slavery	BornDieDiseaseNewWorldConquest-Cook-1998-Cambridge-UP.pdf	colonialism-slavery	BornDieDiseaseNewWorldConquest-Cook-1998-CambridgeUP.pdf	publisher slug Cambridge-UP -> CambridgeUP
rename-pub	colonialism-slavery	BusinessAbolishingBritishSlaveTrade-Jennings-1997-Pennsylvania-UP.pdf	colonialism-slavery	BusinessAbolishingBritishSlaveTrade-Jennings-1997-PennUP.pdf	publisher slug Pennsylvania-UP -> PennUP
stash-dupe	colonialism-slavery	BusinessAbolishingBritishSlaveTrade-Jennings-1997-YaleUP.pdf	_stash-duplicates	BusinessAbolishingBritishSlaveTrade-Jennings-1997-YaleUP.pdf	duplicate of colonialism-slavery/BusinessAbolishingBritishSlaveTrade-Jennings-1997-Pennsylvania-UP.pdf (tied; lower score)
rename-pub	colonialism-slavery	ByzantiumEarlyIslamicConquests-Kaegi-1992-Cambridge-UP.pdf	colonialism-slavery	ByzantiumEarlyIslamicConquests-Kaegi-1992-CambridgeUP.pdf	publisher slug Cambridge-UP -> CambridgeUP
rename-pub	colonialism-slavery	CambridgeWorldHistorySlavery-Eltis-2011-Cambridge-UP.pdf	colonialism-slavery	CambridgeWorldHistorySlavery-Eltis-2011-CambridgeUP.pdf	publisher slug Cambridge-UP -> CambridgeUP
stash-dupe	colonialism-slavery	CambridgeWorldHistorySlavery-Eltis-2011-Cambridge.pdf	_stash-duplicates	CambridgeWorldHistorySlavery-Eltis-2011-Cambridge.pdf	duplicate of colonialism-slavery/CambridgeWorldHistorySlavery-Eltis-2011-Cambridge-UP.pdf (tied; lower score)
rename-pub	colonialism-slavery	CeremoniesPossessionEuropeConquest-Seed-1995-Cambridge-UP.pdf	colonialism-slavery	CeremoniesPossessionEuropeConquest-Seed-1995-CambridgeUP.pdf	publisher slug Cambridge-UP -> CambridgeUP
stash-dupe	colonialism-slavery	ColonialityPowerPostcolonialAfrica-Ndlovu-Gatsheni-2013-CODESRIA.pdf	_stash-duplicates	ColonialityPowerPostcolonialAfrica-Ndlovu-Gatsheni-2013-CODESRIA.pdf	duplicate of african-history/ColonialityPowerPostcolonialAfrica-Ndlovu-Gatsheni-2013-CODESRIA.pdf (tied; lower score)
rename-pub	colonialism-slavery	ColonialMitaCausePopulationCollapsePeru-Carpio-2021-CambridgeUniversityPress.pdf	colonialism-slavery	ColonialMitaCausePopulationCollapsePeru-Carpio-2021-CambridgeUP.pdf	publisher slug CambridgeUniversityPress -> CambridgeUP
stash-dupe	colonialism-slavery	ConflictedColonialismsMultiDimensionalViolenc-MCGIFFIN-2021-Taylor&FrancisGroup.pdf	_stash-duplicates	ConflictedColonialismsMultiDimensionalViolenc-MCGIFFIN-2021-Taylor&FrancisGroup.pdf	duplicate of african-history/ConflictedColonialismsMultiDimensionalViolenc-MCGIFFIN-2021-Taylor&FrancisGroup.pdf (tied; lower score)
stash-dupe	colonialism-slavery	ConflictedColonialismsMultiDimensionalViolenc-McGiffin-2022-Routledge.pdf	_stash-duplicates	ConflictedColonialismsMultiDimensionalViolenc-McGiffin-2022-Routledge.pdf	duplicate of african-history/ConflictedColonialismsMultiDimensionalViolenc-McGiffin-2022-Routledge.pdf (tied; lower score)
stash-dupe	colonialism-slavery	ConquestAmerica-Todorov-1984-HarperCollins.pdf	_stash-duplicates	ConquestAmerica-Todorov-1984-HarperCollins.pdf	duplicate of colonialism-slavery/ConquestAmericaQuestionOther-Todorov-1984-Harper.pdf (shorter title (15 vs 28 chars))
stash-dupe	colonialism-slavery	DecolonisingMind-Thiongo-1986-OxfordUP.pdf	_stash-duplicates	DecolonisingMind-Thiongo-1986-OxfordUP.pdf	duplicate of african-history/DecolonisingMindAfricanLiterature-Thiongo-1986-Heinemann.pdf (shorter title (16 vs 33 chars))
rename-pub	colonialism-slavery	DiscoveringIndigenousLandsDoctrine-Miller-2012-Oxford-UP.pdf	colonialism-slavery	DiscoveringIndigenousLandsDoctrine-Miller-2012-OxfordUP.pdf	publisher slug Oxford-UP -> OxfordUP
rename-pub	colonialism-slavery	EarlyBrazilDocumentaryCollection-Schwartz-1997-Cambridge-UP.pdf	colonialism-slavery	EarlyBrazilDocumentaryCollection-Schwartz-1997-CambridgeUP.pdf	publisher slug Cambridge-UP -> CambridgeUP
rename-pub	colonialism-slavery	EarlyIslamicConquests-Donner-1981-Princeton-UP.pdf	colonialism-slavery	EarlyIslamicConquests-Donner-1981-PrincetonUP.pdf	publisher slug Princeton-UP -> PrincetonUP
stash-dupe	colonialism-slavery	EndEmpireFrenchWestAfrica-Chafer-2002-OxfordUP.pdf	_stash-duplicates	EndEmpireFrenchWestAfrica-Chafer-2002-OxfordUP.pdf	duplicate of african-history/FrenchWestAfricaDecolonization-Chafer-2002-Berg-Publishers.pdf (shorter title (25 vs 30 chars))
stash-dupe	colonialism-slavery	FormationColonialSociety-Bolland-1977-CambridgeUP.pdf	_stash-duplicates	FormationColonialSociety-Bolland-1977-CambridgeUP.pdf	duplicate of territorial-disputes/FormationColonialSocietyBelizeFromConquest-Bolland-1977-JohnsHopkinsUP.pdf (shorter title (24 vs 42 chars))
rename-pub	colonialism-slavery	FormationColonialSocietyBelize-Bolland-2003-Johns-Hopkins-UP.pdf	colonialism-slavery	FormationColonialSocietyBelize-Bolland-2003-JohnsHopkinsUP.pdf	publisher slug Johns-Hopkins-UP -> JohnsHopkinsUP
rename-pub	colonialism-slavery	GuamanPomaWritingResistance-Adorno-1986-Syracuse-UP.pdf	colonialism-slavery	GuamanPomaWritingResistance-Adorno-1986-SyracuseUP.pdf	publisher slug Syracuse-UP -> SyracuseUP
rename-pub	colonialism-slavery	GuardiansLeagueNationsCrisisEmpire-Pedersen-2012-Oxford-UP.pdf	colonialism-slavery	GuardiansLeagueNationsCrisisEmpire-Pedersen-2012-OxfordUP.pdf	publisher slug Oxford-UP -> OxfordUP
rename-pub	colonialism-slavery	ImperialismSovereigntyInternationalLaw-Anghie-2005-Cambridge-University-Press.pdf	colonialism-slavery	ImperialismSovereigntyInternationalLaw-Anghie-2005-CambridgeUP.pdf	publisher slug Cambridge-University-Press -> CambridgeUP
rename-pub	colonialism-slavery	InhumanBondageRiseFallSlavery-Davis-2006-Oxford-UP.pdf	colonialism-slavery	InhumanBondageRiseFallSlavery-Davis-2006-OxfordUP.pdf	publisher slug Oxford-UP -> OxfordUP
stash-dupe	colonialism-slavery	InhumanBondageRiseFallSlavery-Davis-2006-OxfordUP.pdf	_stash-duplicates	InhumanBondageRiseFallSlavery-Davis-2006-OxfordUP.pdf	duplicate of colonialism-slavery/InhumanBondageRiseFallSlavery-Davis-2006-Oxford-UP.pdf (tied; lower score)
rename-pub	colonialism-slavery	IslandCenterWorld-Shorto-2004-Random-House.pdf	colonialism-slavery	IslandCenterWorld-Shorto-2004-RandomHouse.pdf	publisher slug Random-House -> RandomHouse
rename-pub	colonialism-slavery	KissingerLatinAmericaIntervention-Kissinger-2021-Cornell.pdf	colonialism-slavery	KissingerLatinAmericaIntervention-Kissinger-2021-CornellUP.pdf	publisher slug Cornell -> CornellUP
stash-dupe	colonialism-slavery	LenapeCountryDelawareValley-Soderlund-2007-Unknown.pdf	_stash-duplicates	LenapeCountryDelawareValley-Soderlund-2007-Unknown.pdf	duplicate of general-history/LenapeCountryDelawareValley-Soderlund-2007-University-of-Pennsylvania-Press.pdf (loser-publisher=Unknown)
stash-dupe	colonialism-slavery	LordsOfAllWorldIdeologiesEmpire-Pagden-1995-Unknown.pdf	_stash-duplicates	LordsOfAllWorldIdeologiesEmpire-Pagden-1995-Unknown.pdf	duplicate of general-history/LordsWorldEmpireIdeologies-Pagden-1995-Yale-UP.pdf (loser-publisher=Unknown)
rename-pub	colonialism-slavery	MarriageSlaveryEarlyIslam-Ali-2010-Harvard-UP.pdf	colonialism-slavery	MarriageSlaveryEarlyIslam-Ali-2010-HarvardUP.pdf	publisher slug Harvard-UP -> HarvardUP
stash-dupe	colonialism-slavery	NewYorkHistoricalManuscriptsDutch-Gehring-1980-Unknown.pdf	_stash-duplicates	NewYorkHistoricalManuscriptsDutch-Gehring-1980-Unknown.pdf	duplicate of colonialism-slavery/NewYorkHistoricalManuscriptsDutchLandPapers-Gehring-1980-HollandSocietyNY.pdf (loser-publisher=Unknown; shorter title (33 vs 43 chars))
stash-dupe	colonialism-slavery	OtherSlavery-Reséndez-2016-OxfordUP.pdf	_stash-duplicates	OtherSlavery-Reséndez-2016-OxfordUP.pdf	duplicate of colonialism-slavery/OtherSlaveryIndianEnslavement-Reséndez-2016-OxfordUP.pdf (shorter title (12 vs 29 chars))
stash-dupe	colonialism-slavery	OtherSlaveryUncoveredStory-Reséndez-2016-Houghton-Mifflin.pdf	_stash-duplicates	OtherSlaveryUncoveredStory-Reséndez-2016-Houghton-Mifflin.pdf	duplicate of colonialism-slavery/OtherSlaveryIndianEnslavement-Reséndez-2016-OxfordUP.pdf (shorter title (26 vs 29 chars))
stash-dupe	colonialism-slavery	OurTimeRaceModernityGuatemala-Gibbings-2020-Cambridge-University-Press.pdf	_stash-duplicates	OurTimeRaceModernityGuatemala-Gibbings-2020-Cambridge-University-Press.pdf	duplicate of territorial-disputes/OurTimeIsNowRaceModernityPostcolonialGuatemal-Gibbings-2020-CambridgeUP.pdf (shorter title (29 vs 45 chars))
stash-dupe	colonialism-slavery	OurTimeRaceModernityGuatemala-Gibbings-2020-PalgraveMacmillan.pdf	_stash-duplicates	OurTimeRaceModernityGuatemala-Gibbings-2020-PalgraveMacmillan.pdf	duplicate of territorial-disputes/OurTimeIsNowRaceModernityPostcolonialGuatemal-Gibbings-2020-CambridgeUP.pdf (shorter title (29 vs 45 chars))
stash-dupe	colonialism-slavery	PiratesBarbaryCorsairsCaptivity-Tinniswood-2010-Unknown.pdf	_stash-duplicates	PiratesBarbaryCorsairsCaptivity-Tinniswood-2010-Unknown.pdf	duplicate of general-history/PiratesBarbaryCorsairs-Tinniswood-2010-Riverhead.pdf (loser-publisher=Unknown)
stash-dupe	colonialism-slavery	PostcolonialStateAfrica-Young-2012-OxfordUP.pdf	_stash-duplicates	PostcolonialStateAfrica-Young-2012-OxfordUP.pdf	duplicate of colonialism-slavery/PostcolonialStateAfricaIndependence-Young-2012-Indiana-UP.pdf (shorter title (23 vs 35 chars))
rename-pub	colonialism-slavery	PostcolonialStateAfricaIndependence-Young-2012-Indiana-UP.pdf	colonialism-slavery	PostcolonialStateAfricaIndependence-Young-2012-IndianaUP.pdf	publisher slug Indiana-UP -> IndianaUP
rename-pub	colonialism-slavery	PredatoryStatesOperationCondor-McSherry-2005-PalgraveMacmillan.pdf	colonialism-slavery	PredatoryStatesOperationCondor-McSherry-2005-Palgrave.pdf	publisher slug PalgraveMacmillan -> Palgrave
rename-pub	colonialism-slavery	SecretScienceSpanishCosmography-Portuondo-2009-Chicago-UP.pdf	colonialism-slavery	SecretScienceSpanishCosmography-Portuondo-2009-ChicagoUP.pdf	publisher slug Chicago-UP -> ChicagoUP
rename-pub	colonialism-slavery	SettlerColonialismTwentiethCentury-Pedersen-2012-Oxford-UP.pdf	colonialism-slavery	SettlerColonialismTwentiethCentury-Pedersen-2012-OxfordUP.pdf	publisher slug Oxford-UP -> OxfordUP
rename-pub	colonialism-slavery	SevenMythsSpanishConquest-Restall-2003-Oxford-UP.pdf	colonialism-slavery	SevenMythsSpanishConquest-Restall-2003-OxfordUP.pdf	publisher slug Oxford-UP -> OxfordUP
rename-pub	colonialism-slavery	SovereigntySocietyColonialBrazil-Schwartz-1997-Cambridge-UP.pdf	colonialism-slavery	SovereigntySocietyColonialBrazil-Schwartz-1997-CambridgeUP.pdf	publisher slug Cambridge-UP -> CambridgeUP
stash-dupe	colonialism-slavery	StatementOnTheDoctrineOfDiscovery-Vatican-2023-Unknown.pdf	_stash-duplicates	StatementOnTheDoctrineOfDiscovery-Vatican-2023-Unknown.pdf	duplicate of colonialism-slavery/VaticanStatementRepudiatingTheDoctrineOfDisco-Vatican-2023-Unknown.pdf (shorter title (33 vs 45 chars))
stash-dupe	colonialism-slavery	UtilitiesOfForceInAPostcolonialContext-Bertrand-2023-Routledge-v2.pdf	_stash-duplicates	UtilitiesOfForceInAPostcolonialContext-Bertrand-2023-Routledge-v2.pdf	duplicate of colonialism-slavery/UtilitiesOfForceInAPostcolonialContext-Bertrand-2023-Routledge.pdf (-v2 suffix)
stash-dupe	colonialism-slavery	UtilitiesOfForceInAPostcolonialContext-Bertrand-2023-Routledge-v3.pdf	_stash-duplicates	UtilitiesOfForceInAPostcolonialContext-Bertrand-2023-Routledge-v3.pdf	duplicate of colonialism-slavery/UtilitiesOfForceInAPostcolonialContext-Bertrand-2023-Routledge.pdf (-v3 suffix)
stash-dupe	colonialism-slavery	VaticanRepudiatesTheDoctrineOfDiscovery-Vatican-2023-Unknown.pdf	_stash-duplicates	VaticanRepudiatesTheDoctrineOfDiscovery-Vatican-2023-Unknown.pdf	duplicate of colonialism-slavery/VaticanStatementRepudiatingTheDoctrineOfDisco-Vatican-2023-Unknown.pdf (shorter title (39 vs 45 chars))
stash-dupe	colonialism-slavery	YoungTurksCrimeArmenianGenocide-Akçam-2012-PrincetonUP.pdf	_stash-duplicates	YoungTurksCrimeArmenianGenocide-Akçam-2012-PrincetonUP.pdf	duplicate of territorial-disputes/YoungTurksCrimeAgainstHumanityArmenianGenocid-Akçam-2012-PrincetonUP.pdf (shorter title (31 vs 45 chars))
rename-pub	crusades-christianity	AgeJihad-Cockburn-2016-Verso-Books.pdf	crusades-christianity	AgeJihad-Cockburn-2016-Verso.pdf	publisher slug Verso-Books -> Verso
rename-pub	crusades-christianity	AlienatedJewsMedievalEurope-Stow-1992-Harvard-University-Press.pdf	crusades-christianity	AlienatedJewsMedievalEurope-Stow-1992-HarvardUP.pdf	publisher slug Harvard-University-Press -> HarvardUP
rename-pub	crusades-christianity	AnatomyTorture-Hassner-2022-Cornell-University-Press.pdf	crusades-christianity	AnatomyTorture-Hassner-2022-CornellUP.pdf	publisher slug Cornell-University-Press -> CornellUP
rename-pub	crusades-christianity	BookContemplation-Munqidh-2000-Penguin-Books.pdf	crusades-christianity	BookContemplation-Munqidh-2000-Penguin.pdf	publisher slug Penguin-Books -> Penguin
rename-pub	crusades-christianity	ByzantineStateSociety-Treadgold-1997-Stanford-University-Press.pdf	crusades-christianity	ByzantineStateSociety-Treadgold-1997-StanfordUP.pdf	publisher slug Stanford-University-Press -> StanfordUP
stash-dupe	crusades-christianity	ByzantineStateSociety-Treadgold-1997-Stanford.pdf	_stash-duplicates	ByzantineStateSociety-Treadgold-1997-Stanford.pdf	duplicate of crusades-christianity/ByzantineStateSociety-Treadgold-1997-Stanford-University-Press.pdf (tied; lower score)
rename-pub	crusades-christianity	ChristianHumanRights-Moyn-2015-University-of-Pennsylvania-Press.pdf	crusades-christianity	ChristianHumanRights-Moyn-2015-PennUP.pdf	publisher slug University-of-Pennsylvania-Press -> PennUP
rename-pub	crusades-christianity	ChristianJewishRelations-Abulafia-2011-Cambridge-University-Press.pdf	crusades-christianity	ChristianJewishRelations-Abulafia-2011-CambridgeUP.pdf	publisher slug Cambridge-University-Press -> CambridgeUP
rename-pub	crusades-christianity	ChristianJewishRelations-Abulafia-2024-Cambridge-University-Press.pdf	crusades-christianity	ChristianJewishRelations-Abulafia-2024-CambridgeUP.pdf	publisher slug Cambridge-University-Press -> CambridgeUP
rename-pub	crusades-christianity	ChristianMartyrsIslam-Sahner-2018-Princeton-University-Press.pdf	crusades-christianity	ChristianMartyrsIslam-Sahner-2018-PrincetonUP.pdf	publisher slug Princeton-University-Press -> PrincetonUP
rename-pub	crusades-christianity	Cockburn--Patrick-The-age-of-jihad-Islamic-State-and-the-great-war-for-the-Middle-East--2016--Verso-.pdf	crusades-christianity	Cockburn--Patrick-The-age-of-jihad-Islamic-State-and-the-great-war-for-the-Middle-East--2016-Verso.pdf	publisher slug -Verso- -> Verso
rename-pub	crusades-christianity	CrusadesIslamicPerspectives-Hillenbrand-1999-New-York-University-Press.pdf	crusades-christianity	CrusadesIslamicPerspectives-Hillenbrand-1999-NYUP.pdf	publisher slug New-York-University-Press -> NYUP
rename-pub	crusades-christianity	CyprusProblemReview-Faustmann-1974-Oxford.pdf	crusades-christianity	CyprusProblemReview-Faustmann-1974-OxfordUP.pdf	publisher slug Oxford -> OxfordUP
rename-pub	crusades-christianity	DamascusChronicleCrusades-al-Qalanisi-1932-Columbia-University-Press.pdf	crusades-christianity	DamascusChronicleCrusades-al-Qalanisi-1932-ColumbiaUP.pdf	publisher slug Columbia-University-Press -> ColumbiaUP
rename-pub	crusades-christianity	DamascusChronicleCrusades-Ibn-1932-Columbia-University-Press.pdf	crusades-christianity	DamascusChronicleCrusades-Ibn-1932-ColumbiaUP.pdf	publisher slug Columbia-University-Press -> ColumbiaUP
stash-dupe	crusades-christianity	EarlyIslamicConquests-Donner-1981-Princeton-University-Press.pdf	_stash-duplicates	EarlyIslamicConquests-Donner-1981-Princeton-University-Press.pdf	duplicate of colonialism-slavery/EarlyIslamicConquests-Donner-1981-Princeton-UP.pdf (tied; lower score)
rename-pub	crusades-christianity	FirstCrusadeEyewitnessAccounts-Krey-1921-Princeton-University-Press.pdf	crusades-christianity	FirstCrusadeEyewitnessAccounts-Krey-1921-PrincetonUP.pdf	publisher slug Princeton-University-Press -> PrincetonUP
rename-pub	crusades-christianity	Inquisition-Peters-1988-University-of-California-Press.pdf	crusades-christianity	Inquisition-Peters-1988-UCalifUP.pdf	publisher slug University-of-California-Press -> UCalifUP
rename-pub	crusades-christianity	JihadIslamicHistory-Bonner-2008-Princeton-University-Press.pdf	crusades-christianity	JihadIslamicHistory-Bonner-2008-PrincetonUP.pdf	publisher slug Princeton-University-Press -> PrincetonUP
stash-dupe	crusades-christianity	JihadIslamicHistory-Bonner-2008-Princeton.pdf	_stash-duplicates	JihadIslamicHistory-Bonner-2008-Princeton.pdf	duplicate of crusades-christianity/JihadIslamicHistory-Bonner-2008-Princeton-University-Press.pdf (tied; lower score)
rename-pub	crusades-christianity	Rubenstein--Jay-Armies-of-Heaven-The-First-Crusade-and-the-Quest-for-Apocalypse--2011--Basic-Books--.pdf	crusades-christianity	Rubenstein--Jay-Armies-of-Heaven-The-First-Crusade-and-the-Quest-for-Apocalypse--2011-Basic.pdf	publisher slug -Basic-Books-- -> Basic
rename-pub	crusades-christianity	SpanishInquisition-Rawlings-2006-Blackwell-Publishing.pdf	crusades-christianity	SpanishInquisition-Rawlings-2006-Blackwell.pdf	publisher slug Blackwell-Publishing -> Blackwell
rename-pub	crusades-christianity	TheCrusades-Hillenbrand-1999-New-York-University-Press.pdf	crusades-christianity	TheCrusades-Hillenbrand-1999-NYUP.pdf	publisher slug New-York-University-Press -> NYUP
rename-pub	crusades-christianity	TheFirstCrusade-Krey-1921-Princeton-University-Press.pdf	crusades-christianity	TheFirstCrusade-Krey-1921-PrincetonUP.pdf	publisher slug Princeton-University-Press -> PrincetonUP
rename-pub	general-history	AfricaBiographyContinent-Reader-1999-Penguin-Books.pdf	general-history	AfricaBiographyContinent-Reader-1999-Penguin.pdf	publisher slug Penguin-Books -> Penguin
stash-dupe	general-history	AgeOfJihadIslamicState-Cockburn-2016-Verso-Books.pdf	_stash-duplicates	AgeOfJihadIslamicState-Cockburn-2016-Verso-Books.pdf	duplicate of crusades-christianity/AgeJihad-Cockburn-2016-Verso-Books.pdf (misfiled in general-history (winner: crusades-christianity))
rename-pub	general-history	AhnenerbeSS-Kater-2009-VersoBooks.pdf	general-history	AhnenerbeSS-Kater-2009-Verso.pdf	publisher slug VersoBooks -> Verso
rename-pub	general-history	AlienatedMinorityJewsMedievalEurope-Stow-1998-Harvard.pdf	general-history	AlienatedMinorityJewsMedievalEurope-Stow-1998-HarvardUP.pdf	publisher slug Harvard -> HarvardUP
