Bulk YEAR + PUBLISHER lookup for academic books. For each entry below, identify the publication year (and publisher if the entry shows publisher=Unknown).

OUTPUT: JSON array, NO markdown fences.
[{"i":N,"y":"YYYY","p":"PublisherAbbrev"}]

PUBLISHER ABBREVIATIONS: CambridgeUP, OxfordUP, YaleUP, PrincetonUP, ColumbiaUP, IndianaUP, EdinburghUP, NYUPress, UCPress, UCLAUP, UNCPress, JohnsHopkinsUP, HooverPress, PlutoPress, Routledge, Palgrave, PalgraveMacmillan, Bloomsbury, ITauris, HurstCo, ZedBooks, VersoBooks, BasicBooks, RandomHouse, Penguin, Brill, Springer, DaCapo, FreePress, Granta, WeidenfeldNicolson, CornellUP, StanfordUP, HarvardUP, LiverpoolUP, MacmillanUK, NortonCo, ChicagoUP, MITPress, WileyBlackwell, NewPress

If the entry already shows a publisher, keep it (echo it back); only fix if pub=Unknown.
If you cannot identify year confidently, output "0000". If publisher unknown, output "Unknown".

ENTRIES (i. title | author | current_pub):
26. ArchaeologyChildhoodHandbook | Shepherd | Oxford-University-Press
27. ArchaeologyNativeNorthAmerica | Snow | Unknown
28. ArtPersonalEssay | Lopate | ZLib
29. Aztecs | Duran | Unknown
30. AztecsMixtecsHistories | Keber | Unknown
31. BackCover | Blackburn | Unknown
32. BattleThermopylae | Matthews | Unknown
33. BattleThermopylae | Matthews | ZLib
34. BehindDisappearancesArgentinasDirty | Guest | University-of-Pennsylvania-Press
35. BenoitDeBecker | Becker | Unknown
36. BlackLegendAntiSpanishAttitudes | Gibson | AnnaArchive
37. BlackwellPhilo | Blackwell | Unknown
38. BookContemplation | Cobb | Penguin-Books
39. BookGodsRitesAncient | Horcasitas | Unknown
40. BroadDaylightSecretProceduresHolocaust | Desbois | Unknown
41. CacicasIndigenousWomenLeaders | Ochoa | Unknown
42. CambridgeWorldHistoryViolence | Gordon | Cambridge-University-Press
43. CapitalIdeology | Piketty | ZLib
44. CharlemagneFormationEuropeanIdentity | McKitterick | ZLib
45. ChildrenAshElmHistoryVikings | Price | ZLib
46. CodexTellerianoRemensisVol | DKM | Unknown
47. CompleteWorks | Siculus | Unknown
48. CondorTrialsHumanRights | Lessa | ZLib
49. ConfederateNeoConfederateReader | Loewen | Unknown
50. ContemporaryFarRightCulture | ARGENTINO | Unknown
51. CopyEnvironmentalOrganisationsFuture | Europe | Unknown
52. CousinsWarsReligionPolitics | Phillips | Unknown
53. CreationStatesInternationalLaw | Crawford | ZLib
54. CtesiasPersicaNearEasternContext | Waters | Unknown
55. CulturasTradicionalesPatagoniaMundo | Chapman | Unknown
56. CurrencyDevaluationSourceGrowth | Bouvet | Unknown
57. DebtFirstYears | Graeber | Unknown
58. DelleStuore | Menochio | Unknown
59. DelphiCompleteWorksPlutarch | Plutarch | Unknown
60. DelphiCompleteWorksPlutarch | Plutarch | Unknown
61. DevastationIndiesBriefAccount | DeLasCasas | Libgen
62. DialogueHellMachiavelliMontesquieu | Joly | Unknown
63. DigestLawEvidence | Roscoe | Unknown
64. DiggingHitlerNaziArchaeologistsAryanPast | Barrowclough | Unknown
65. DiscerningMerchantsPriceGuide | Labs | Unknown
66. DiseaseReadBones | Ibanez | Unknown
67. Disinformation | Pacepa | Unknown
68. DixiesDaughters | COX | Unknown
69. DrakkenheimGuide | Martin | Unknown
70. DrempelsJeugdbewegingOostende | Kemel | Unknown
71. EconomicHistoryEuropeanJews | Toch | AnnaArchive
72. EconomicHistoryLatinAmerica | Bulmer-Thomas | Unknown
73. Edited | Marichal | Unknown
74. EmperorAllMaladies | Mukherjee | ZLib
75. EndgameWesternSaharaFutureAfricasColony | Shelley | Unknown
76. EnergyCertificates1MWhDeliveredNet | Brussels | Unknown
77. EnglishCompositionIntroduction | Edwards | Unknown
78. EuropassCV | DeBecker | Unknown
79. Factfulness | Rosling | Unknown
80. FacultyArtsPhilosophy | Becker | Unknown
81. FeministEdgesQur’an | Hidayatullah | Unknown
82. FGGGRAPFEBook | Games | Unknown
83. FinDeMundoLosSelknamDeTierraDelFuego | CHAPMAN | TallerExperimentalCuerposPinta
84. FirmaIllustrations | Tierra | Unknown
85. FirstNewChronicleGovernment | Ayala | Unknown
86. FragmentsOfCeos | Simonides | Unknown
87. FragmentsSimonides | Simonides | ZLib
88. GenderHierarchyQurānMedievalInterpretati | Bauer | Unknown
89. GenderRepresentationEvil | Fallwell | Unknown
90. GenomicHistoryMedievalEurope | Speidel | Unknown
91. GeographyStraboEnglishTranslation | Strabo | ZLib
92. GrandfathersSpeak | Hitakonanulaxk | ZLib
93. GrimHollowMonsterGrimoire | Games | Unknown
94. GrimHollowSubclassesEtharis | Becker | Unknown
95. GunsGermsSteelFatesHumanSocieties | Diamond | Unknown
96. HaitiAftershocksHistory | Dubois | ZLib
97. HaitianConnectionsAtlanticWorldRecogniti | Gaffield | ZLib
98. HaitianUnderdevelopmentEssays | Lundahl | ZLib
99. HaitiWorldEconomyClassRaceUnderdevelopme | Dupuy | ZLib
100. HalmeTuomisaari | Slotte | Unknown
101. HammerWitchesMalleusMaleficarum | Institoris | Unknown
102. HarvardClassicsPlutarchLives | Plutarch | Harvard-University-Press
103. HateSpeechRegulationResponses | Herz | European-Court-of-Human-Rights
104. HelotsAndBarbariansHistoriographyAndRepresent | LURAGHI | Unknown
105. HelpdeskBeleggen | Beleggen | Unknown
106. HighSchoolDecidedEnrollUniversity | Found | Unknown
107. HistoriaEconomicaAmericaLatina | Bulmer-Thomas | Unknown
108. HistoriaGeneralPerúComentariosReales | Vega | Unknown
109. HistoriansIndividualAgency | Berber | Unknown
110. HistoricalDictionaryWesternSahara | Pazzanita | AnnaArchive
111. HistoricalImage | Kotoulas | Unknown
112. HistoryAndCultureOfTheAngloSaxonWorld | GRAHAMGOERING | Unknown
113. HistoryCambodia | Chandler | Unknown
114. HistoryHumanRightsGlobalization | Ishay | Unknown
115. HolsteinPapers | Holstein | AnnaArchive
116. HumanRightsUsesHistory | Moyn | Unknown
117. HusseinCorrespondence | McMahon | Unknown
118. IdeologicalOriginsAmericanRevolution | Bailyn | Unknown
119. ImaginedCommunities | Anderson | ZLib
120. IncasRoyalCommentaries | Vega | Unknown
121. IndiansAfraidAsk | Treuer | Unknown
122. InfocenterBrugge | Brugge | Unknown
123. InkaHistoryKhipus | Urton | Unknown
124. IntermediateText | Fearenside | Unknown
125. InternationalCourtJusticeDecolonisation | Burri | International-Court-of-Justice
126. InternationalLawHumanities | Chalmers | Routledge
127. InternationalPolicyStudies | Anttiroiko | Unknown
128. IslandCenterWorld | Shorto | Unknown
129. IslandShameDiegoGarcia | Vine | ZLib
130. JeBestellingBevatVolgendeArtikels | Becker | Unknown
131. JewsFranceWWII | Poznanski | ZLib
132. JohannaKatrinFridriksd6ottir | Fridriksd6ottir | Unknown
133. JoinOurTeam | Lacombe | Unknown
134. JudgeMarkBennett | Courtroom | Unknown
135. KillingOrders | Genocide | Unknown
136. LandmarkHerodotusHistories | Herodotus | ZLib
137. LandmarkHistories | Herodotus | Unknown
138. LawsAlamansBavarians | Rivers | ZLib
139. LawsDigitalWriting | Bush | ZLib
140. LawSocietyVisigothicKingdom | King | Cambridge-University-Press
141. LenapeCountryDelawareValley | Soderlund | University-of-Pennsylvania-Press
142. LenguaMaya | Berendt | Unknown
143. LibertyDeathIndiaIndependence | French | ZLib
144. LogwoodMasterlessMen | Offen | Unknown
145. LombardLaws | Drew | ZLib
146. LostIslandsNauticalCharts | Stommel | ZLib
147. LostIslandsNauticalCharts | Stommel | ZLib
148. LostTerritoriesThailandHistory | Strate | Unknown
149. LRWilliams | Hudson | Unknown
150. MayaCodexTellerianoRemensis | García | Unknown
151. MayaSeaTraders | McKillop | Unknown
152. MexicanManuscript | Festivals | Unknown
153. MicrosoftWordGelterNorwegianFriluftliv | Hage | Unknown
154. MicrosoftWordMontgo | Administrator | Unknown
155. MiscellaneousWorksRemains | Hall | Unknown
156. MisquotingMuhammad | Brown | ZLib
157. ModernGeographySimplifiedSociety | Geography | Unknown
158. MoscowMiddleEastRegional | Golan | AnnaArchive
159. MotivateReasonsPickingProject | Enjoyed | Unknown
160. MythNationsMedievalOriginsEurope | Geary | PrincetonUP
161. NationalHistoryNewNationalism | May | Unknown
162. NationsNationalism | Hobsbawm | ZLib
163. NativeNations | DuVal | Unknown
164. NativePopulationAmericas | Denevan | Unknown
165. NativePopulationAmericas1492 | Denevan | Unknown
166. NaziOccultHistories | Kurlander | Unknown
167. NaziOccultHistoriesLegacies | Black | Unknown
168. NexusInformationNetworks | Harari | ZLib
169. OccultRootsNazism | Goodrick-Clarke | Unknown
170. OnlineTicket | Europa | Unknown
171. OnRomanTime | Salzman | ZLib
172. OnSavageShoresIndigenousAmericansEurope | Pennock | University-of-Pennsylvania-Press
173. OperacionCondorPactoCriminal | Calloni | ZLib
174. OriginsFinalSolutionNaziPolicy | Browning | Unknown
175. OriginsOfChristmas | Roll | Peeters
176. Overheidsdienst | Brugge | Unknown
177. OxfordMedievalTexts | Danorum | Oxford-University-Press
178. OXMOFinal | UnicafPC | Unknown
179. PaisDeLaCanela | Ospina | RandomHouse
180. PalestiniansMakingPeople | Kimmerling | Unknown
181. PavinDOI | Chachavalpongpun | Unknown
182. PeoplesHistoryOfTheUnitedStates | ZINN | Unknown
183. PeoplesHistoryUnitedStates | Zinn | Harper-Perennial
184. PhantomAtlasMythsMaps | Brooke-Hitching | ZLib
185. PhantomIslandsMythicalLands | Liesemer | ZLib
186. PHHVries | Vries | Unknown
187. PotosiMitaIndianLabor | Cole | Unknown
188. PotosiSilverCity | Lane | Unknown
189. PraktischeInfoVTONVAAvondNVU | Decloedt | Unknown
190. PraktischEngels | Engels | Unknown
191. PreahVihearConflictGuide | Kasetsiri | Unknown
192. RaceAmericanPoliticalScience | Blatt | Unknown
193. RaceReunionCivilWarMemory | Blight | Unknown
194. RaceSexLatinAmerica | Wade | Unknown
195. RadicalismAmericanRevolution | Wood | Unknown
196. RealValkyrieVikingWomen | Brown | Unknown
197. RediscoveryAmericaNativePeoples | Blackhawk | Unknown
198. RediscoveryIndia | Khan | ZLib
199. RedPinkStamps | Viola | Unknown
200. RefutationArmenianResolution | Kemal | Unknown
201. ReligiousPluralismIslamicLaw | Emon | Unknown
202. RereadingBlackLegend | Green | Unknown
203. RolandPosner | Posner | Unknown
204. Sapiens | Harari | ZLib
205. Scandinavism | Cultural | Unknown
206. SebastianCrowesGuideDrakkenheim | Martin | Unknown
207. SeparateUnequal | Tinker | ZLib
208. SilenceChagos | Patel | ZLib
209. SilkRoads | Frankopan | ZLib
210. SkullWarsKennewickMan | Thomas | Unknown
211. SocialConstructivismParadigm | Knoblauch | Unknown
212. SocialConstructivismParadigm | Pfadenhauer | Unknown
213. SocietyEncouragementContemporary | Art | Unknown
214. SpainAmerica | Gibson | AnnaArchive
215. Speech | Macron | Unknown
216. StateUncivilSocietyThailand | Pawakapan | Unknown
217. Studiefiche | Cultuurwetenschappen | Unknown
218. SunArtReligionsRome | Hijmans | ZLib
219. SynevoGeorgia | Georgia | Unknown
220. TerechtBijProfessorenAssistenten | Becker | Unknown
221. Terminology | Characters | Unknown
222. TerritorializationStatePower | Vandergeest | Unknown
223. TertullianWorks | Tertullian | Unknown
224. TheFirstCrusade | FOSS | Unknown
225. Theoretische | Bert | Unknown
226. TheoretischeGeschiedenis | Cornelis | Unknown
227. ToerismeAltijdFeest | Djame | Unknown
228. TravelsPedroDeCieza | Léon | Unknown
229. TruthProtocols | Graves | Unknown
230. UnknownPaper | Mamigonian | Unknown
231. UnknownTitle | McMahon | Unknown
232. Version | Mangus | Unknown
233. VikingsLagerthaRagnar | Tsoumbakos | Unknown
234. VLInternationalConference | FCSH | Unknown
235. WalterSinnottArmstrong | Sinnott-Armstrong | Unknown
236. WarriorWomenArchaeologists | Behan | Unknown
237. WomenIslamEnquiry | Mernissi | Unknown
238. WomenVikingAge | Jesch | Unknown
239. WomenWeaponsVikingWorld | Gardela | Unknown
240. WorksDiodorusSiculus | Siculus | ZLib
241. Workshop | Dick | Unknown
242. WorldHistoryViolence | Antony | Cambridge-University-Press
243. WorldPrehistoryIntroduction | Fagan | Unknown
244. WTFinal | Howell | Unknown
245. YouthResearchPodcast | PASIC | MOOC
246. AllShahsMenAmericanCoupRootsMiddleEastTe | Kinzer | John-Wiley-&-Sons
247. BarbaryWarsAmericanIndependenceAtlanticW | Lambert | ZLib
248. BarbaryWarsAmericanIndependenceAtlanticW | Lambert | ZLib
249. CyprusOttomansKissingerChristopherHitche | History | Unknown
250. DomesticViolenceIslamicTradition | Chaudhry | ZLib
251. GreatArabConquestsSpreadIslamChangedWorl | Kennedy | Unknown
252. JewsArabLandsHistory | Stillman | Unknown
253. MuslimsPhilippines | Majul | ZLib
254. OriginsAmericanReligiousNationalism | Haselby | ZLib
255. OriginsEvolutionIslamicLaw | Hallaq | ZLib
256. PlotProtocolsEldersZion | Eisner | Unknown
257. QuranWomanRereadingSacredTextWomansPersp | Wadud | ZLib
258. RediscoveringPalestine | Palestine | Unknown
259. SovietUnionPalestineLiberationOrganizati | Golan | Unknown
260. ThomasJeffersonsQuranIslamFounders | Spellberg | ZLib
261. ThomasJeffersonsQuranIslamFounders | Spellberg | ZLib
262. NonexistentManuscriptProtocols | DeMichelis | Unknown
263. WoodlandsPublication | Woodlands | Unknown
264. AloysiusNyuymengkaNgalimDOI | Ngalim | Unknown
265. GazettePhilisiphins | PhilippinesGov | PhilippinesGov
266. GuatemalasApplicationToInterveneInTheSapodill | MOITRA | EJILTalk
267. ImplicationsOfTheBakassiConflictResolutionFor | BAYE | Unknown
268. SenatePassesMaritimeZonesAct | PhilippinesGov | PhilippinesGov
269. UNCLOS | UN | UN
270. UNMeetingsCoverageICJPressReleaseJudgment | UN | UN
